PeakID (cmd=annotatePeaks.pl ../chip_output/macs2_output/SRR21586222_summits.bed mm10 -gtf ../chip_output/tmp/mm10.ncbiRefSeq.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
SRR21586222_peak_22356	chr18	40308223	40308223	+	3082.64	NA	intron (NM_026135.2, intron 2 of 2)	-intron (NM_001371039.1, intron 2 of 2)	-49457	NR_168033.1	Gm31087	NR_168033			Gm31087			
SRR21586222_peak_16557c	chr15	75086776	75086776	+	2478.71	NA	Intergenic	Intergenic	-16666	XR_003951660.1	Gm52219	XR_003951660			Gm52219			
SRR21586222_peak_26121b	chr2	98667065	98667065	+	2400.08	NA	Intergenic	Intergenic	43326	XR_374818.2	Gm33780	XR_374818			Gm33780			
SRR21586222_peak_21540	chr18	3005804	3005804	+	1930.85	NA	Intergenic	Intergenic	21998	Vmn1r-ps151	Vmn1r-ps151	Vmn1r-ps151			Vmn1r-ps151			NA
SRR21586222_peak_6938	chr11	54140286	54140286	+	1466	NA	Intergenic	Intergenic	-1582	XR_879857.1	Gm12223	XR_003949548			Gm12223			
SRR21586222_peak_10699	chr12	97061570	97061570	+	860.184	NA	Intergenic	Intergenic	-138512	Gm6863	Gm6863	Gm6863			Gm6863			NA
SRR21586222_peak_45544	chr9	35305442	35305442	+	827.232	NA	intron (XR_870630.2, intron 1 of 3)	-intron (XR_379266.3, intron 1 of 2)	2281	XR_379268.2	Gm33838	XR_379266			Gm33838			
SRR21586222_peak_3255	chr1	195241716	195241716	+	779.077	NA	Intergenic	Intergenic	46408	Gm29726	Gm29726	Gm29726			Gm29726			NA
SRR21586222_peak_3079	chr1	183299361	183299361	+	718.876	NA	intron (NM_181732.4, intron 1 of 9)	-intron (NM_181732.4, intron 1 of 9)	-2063	XM_006535600.4	Brox	XM_006535598			Brox			
SRR21586222_peak_28042b	chr3	8245904	8245904	+	654.519	NA	Intergenic	Intergenic	31774	Gm7103	Gm7103	Gm7103			Gm7103			NA
SRR21586222_peak_49054	chrX	170005353	170005353	+	642.351	NA	Intergenic	Intergenic	-5173	NR_137282.1_2	Erdr1	NR_137282			Erdr1			
SRR21586222_peak_9153	chr12	3109975	3109975	+	635.883	NA	Intergenic	Intergenic	-54767	Gm48310	Gm48310	Gm48310			Gm48310			NA
SRR21586222_peak_47488c	chrM	15674	15674	+	630.896	NA	promoter-TSS (rna-TrnP)	-promoter-TSS (rna-TrnP)	-252	rna-TrnP	TrnP	rna-TrnP			TrnP			
SRR21586222_peak_38337	chr6	103649185	103649185	+	601.724	NA	intron (XM_030255133.1, intron 3 of 25)	-intron (NM_007697.2, intron 4 of 26)	42579	XR_003956491.1	Gm52915	XR_003956491			Gm52915			
SRR21586222_peak_11098a	chr13	3373187	3373187	+	577.12	NA	Intergenic	Intergenic	12504	Gm16505	Gm16505	Gm16505			Gm16505			NA
SRR21586222_peak_3643	chr10	22142595	22142595	+	571.874	NA	intron (XM_017313965.2, intron 1 of 1)	-intron (NM_001254744.1, intron 1 of 1)	6669	XM_017313965.2	E030030I06Rik	NM_001254745			E030030I06Rik			
SRR21586222_peak_27968c	chr2	181918762	181918762	+	541.438	NA	TTS (XR_867165.1)	-TTS (XR_867165.1)	4264	XR_867165.1	Gm40034	XR_867165			Gm40034			
SRR21586222_peak_24435	chr19	61266987	61266987	+	513.735	NA	Intergenic	Intergenic	-8965	Gm50357	Gm50357	Gm50357			Gm50357			NA
SRR21586222_peak_13686a	chr14	19417317	19417317	+	430.149	NA	Intergenic	Intergenic	-12225	Gm9637	Gm9637	Gm9637			Gm9637			NA
SRR21586222_peak_27971b	chr2	181930861	181930861	+	423.317	NA	Intergenic	Intergenic	16363	XR_867165.1	Gm40034	XR_867165			Gm40034			
SRR21586222_peak_47461	chr9	123462019	123462019	+	421.12	NA	exon (NM_001348167.1, exon 21 of 21)	-exon (NM_001348167.1, exon 21 of 21)	-2189	XR_871396.1	Gm40586	XR_871396			Gm40586			
SRR21586222_peak_17533c	chr16	3115619	3115619	+	358.844	NA	Intergenic	Intergenic	26975	Vmn1r-ps137	Vmn1r-ps137	Vmn1r-ps137			Vmn1r-ps137			NA
SRR21586222_peak_17756	chr16	11144090	11144090	+	350.389	NA	intron (NR_027502.1, intron 19 of 22)	-intron (NM_145931.3, intron 19 of 22)	-9445	XM_030248911.1	Txndc11	XM_006521660			Txndc11			
SRR21586222_peak_28042c	chr3	8246367	8246367	+	339.582	NA	Intergenic	Intergenic	32237	Gm7103	Gm7103	Gm7103			Gm7103			NA
